"Dim1","Dim2","Dim3","Val"
"battery","p1","2016",-1163.01699609409
"battery","p1","2018",-1674.22283031145
"battery","p1","2020",-1541.62158777481
"battery","p1","2022",-163.662199266149
"battery","p1","2024",-33.3090163601346
"battery","p1","2026",-214.012354702516
"battery","p1","2030",-510.269725569211
"battery","p1","2035",-2256.14098087327
"battery","p1","2040",-3280.94246732394
"battery","p1","2045",-11996.236358875
"battery","p1","2050",-30424.459553469
"battery","p2","2035",-35828.0321337299
"battery","p2","2040",-25819.9024571636
"battery","p2","2045",-64318.5743566245
"battery","p2","2050",-117366.921874877
"battery","p3","2045",-3765.38716821969
"battery","p3","2050",-4681.13436947129
"battery","p4","2050",-18343.1454237649
"battery","p5","2014",-1543.85865264679
"battery","p5","2016",-1705.2876612511
"battery","p5","2018",-2311.29627828506
"battery","p5","2020",-2574.58005820235
"battery","p5","2022",-1795.84501101811
"battery","p5","2024",-1762.92167502769
"battery","p5","2026",-2479.82462507997
"battery","p5","2028",-1083.14142064819
"battery","p5","2030",-401.042918918916
"battery","p5","2035",-18627.9313977748
"battery","p5","2040",-10976.491005286
"battery","p5","2045",-15223.5877557907
"battery","p5","2050",-108324.920871706
"battery","p6","2020",-134.68261780458
"battery","p6","2022",-166.082226949593
"battery","p6","2024",-249.579849354939
"battery","p6","2026",-364.996104979501
"battery","p6","2028",-443.216468091315
"battery","p6","2030",-540.382733108107
"battery","p6","2035",-6855.21740612946
"battery","p6","2040",-2400.32463437665
"battery","p6","2045",-1203.5545106906
"battery","p6","2050",-195736.664478442
"battery","p7","2035",-4805.04813077268
"battery","p7","2040",-71.2072106103627
"battery","p7","2045",-8194.34374260399
"battery","p7","2050",-52725.6343391314
"battery","p8","2026",-4350.22911207306
"battery","p8","2028",-12061.4322381974
"battery","p8","2030",-14655.1309346596
"battery","p8","2035",-113107.94570733
"battery","p8","2040",-94924.0380952262
"battery","p8","2045",-299247.916510509
"battery","p8","2050",-254877.855804184
"battery","p9","2020",-24928.9919433456
"battery","p9","2022",-29462.6460714556
"battery","p9","2024",-433.180921731863
"battery","p9","2026",-40042.0537690477
"battery","p9","2028",-176245.835757711
"battery","p9","2030",-220721.378189106
"battery","p9","2035",-182419.693593309
"battery","p9","2040",-251763.668044801
"battery","p9","2045",-1320377.55254114
"battery","p9","2050",-1916826.29254384
"battery","p10","2024",-61334.485654054
"battery","p10","2026",-178543.454340389
"battery","p10","2028",-223367.673773438
"battery","p10","2030",-242284.911760254
"battery","p10","2035",-843827.481416082
"battery","p10","2040",-2865333.38585262
"battery","p10","2045",-4092140.75744207
"battery","p10","2050",-3376196.8404305
"battery","p11","2020",-3035.74926016161
"battery","p11","2022",-5145.88607241916
"battery","p11","2024",-30186.8421693972
"battery","p11","2026",-45661.691327102
"battery","p11","2028",-47423.6383589898
"battery","p11","2030",-54945.9052581103
"battery","p11","2035",-107779.056446927
"battery","p11","2040",-178990.961341093
"battery","p11","2045",-290178.813260403
"battery","p11","2050",-304630.213136823
"battery","p12","2026",-90.7854823178723
"battery","p12","2028",-5168.94541445727
"battery","p12","2030",-9145.4923817574
"battery","p12","2035",-17046.0474476375
"battery","p12","2040",-10414.1722512125
"battery","p12","2045",-75361.4695360485
"battery","p12","2050",-68537.7223186368
"battery","p13","2026",-1742.78437906416
"battery","p13","2028",-6298.23816123555
"battery","p13","2030",-7591.0665960663
"battery","p13","2035",-45548.8907970819
"battery","p13","2040",-81968.2068251664
"battery","p13","2045",-114367.994698456
"battery","p13","2050",-305985.651572907
"battery","p14","2045",-8.32613780642048
"battery","p14","2050",-73.0446268535123
"battery","p15","2035",-719.552944483902
"battery","p15","2040",-152.88219049224
"battery","p15","2045",-15240.1983642959
"battery","p15","2050",-11116.0665245276
"battery","p16","2035",-7073.46444154712
"battery","p16","2040",-16888.8932486845
"battery","p16","2045",-38872.5621205973
"battery","p16","2050",-24511.5548049802
"battery","p17","2035",-3240.77098499354
"battery","p17","2040",-301.440148472019
"battery","p17","2045",-5120.24312824523
"battery","p17","2050",-60951.4360378753
"battery","p18","2026",-33.1144427959009
"battery","p18","2035",-376.022332715953
"battery","p18","2040",-3215.4779147058
"battery","p18","2045",-42003.5183794758
"battery","p18","2050",-105607.196009813
"battery","p19","2030",-427.612522000895
"battery","p19","2035",-793.171755923395
"battery","p19","2040",-462.242640953342
"battery","p19","2045",-4228.15819972585
"battery","p19","2050",-7243.4383492054
"battery","p20","2026",-61.8562496890285
"battery","p20","2035",-1795.9671481841
"battery","p20","2040",-19.4153750263571
"battery","p20","2045",-17521.0257193565
"battery","p20","2050",-34801.0581899074
"battery","p21","2028",-1052.10636038932
"battery","p21","2030",-742.772582426863
"battery","p21","2035",-24552.8775715982
"battery","p21","2040",-18812.0247368414
"battery","p21","2045",-19950.1185156303
"battery","p21","2050",-657483.311599691
"battery","p22","2035",-3.54924136096956
"battery","p22","2050",-83936.2073984574
"battery","p23","2035",-630.989354653988
"battery","p23","2040",-27557.940865068
"battery","p23","2045",-1488.82920971753
"battery","p23","2050",-35830.1072612503
"battery","p24","2035",-11939.7476635001
"battery","p24","2040",-324413.109416396
"battery","p24","2045",-318200.143444108
"battery","p24","2050",-324440.582768225
"battery","p25","2026",-3557.37676400188
"battery","p25","2028",-5719.69965645916
"battery","p25","2030",-8003.08297545675
"battery","p25","2035",-10447.4450932595
"battery","p25","2040",-10070.0526507906
"battery","p25","2045",-58374.103514271
"battery","p25","2050",-60020.9593683689
"battery","p26","2035",-5.67728519799822
"battery","p26","2040",-724.059788983848
"battery","p26","2045",-629.15667003687
"battery","p26","2050",-7091.58957512148
"battery","p27","2035",-2436.00241713688
"battery","p27","2040",-195079.12645906
"battery","p27","2045",-111669.065453562
"battery","p27","2050",-119330.491745543
"battery","p28","2030",-1180.51824
"battery","p28","2040",-38249.0208347131
"battery","p28","2045",-70277.3963830895
"battery","p28","2050",-115536.196232422
"battery","p29","2035",-1.25201529252242
"battery","p29","2040",-0.259967200469773
"battery","p29","2045",-30.2084101841223
"battery","p29","2050",-19564.5621201898
"battery","p30","2024",-4.35445627928407
"battery","p30","2030",-334.062131843463
"battery","p30","2035",-2117.77679889318
"battery","p30","2040",-1346.22787435659
"battery","p30","2045",-35242.2868863702
"battery","p30","2050",-686985.488615562
"battery","p31","2014",-5.66112236250105
"battery","p31","2016",-139.515792
"battery","p31","2018",-525.945086391552
"battery","p31","2020",-609.207035040351
"battery","p31","2022",-1171.0458898901
"battery","p31","2024",-724.654439460384
"battery","p31","2026",-1078.34506054054
"battery","p31","2028",-400.045708903021
"battery","p31","2030",-356.044839157643
"battery","p31","2035",-41665.2460909645
"battery","p31","2040",-63954.0867138837
"battery","p31","2045",-628529.373144739
"battery","p31","2050",-539871.335413411
"battery","p32","2040",-65857.2255340178
"battery","p32","2045",-49688.468199676
"battery","p32","2050",-64863.7028208002
"battery","p33","2040",-10086.9870308046
"battery","p33","2045",-83364.4537407939
"battery","p33","2050",-55429.3815635986
"battery","p34","2035",-42875.9412777437
"battery","p34","2040",-22706.1616205155
"battery","p34","2045",-483938.015481946
"battery","p34","2050",-572824.750616624
"battery","p35","2035",-547.766860382643
"battery","p35","2040",-526.806710524505
"battery","p35","2045",-3145.95510987331
"battery","p35","2050",-1738.72386445614
"battery","p36","2035",-4237.19173324929
"battery","p36","2040",-3758.75571101043
"battery","p36","2045",-3053.43692167064
"battery","p37","2026",-9119.17526973447
"battery","p37","2028",-9850.77816591731
"battery","p37","2030",-8499.62251844482
"battery","p37","2035",-4568.06501117046
"battery","p37","2040",-17815.7276786321
"battery","p37","2045",-597.103870890188
"battery","p37","2050",-6955.65422303022
"battery","p38","2026",-1061.39173229342
"battery","p38","2028",-9996.89743406019
"battery","p38","2030",-12255.8625868579
"battery","p38","2035",-14627.8727972693
"battery","p38","2040",-24863.8656678909
"battery","p38","2045",-75680.4544330847
"battery","p38","2050",-115341.336413136
"battery","p39","2026",-636.52455690884
"battery","p39","2028",-1146.57020906676
"battery","p39","2030",-1654.27469362688
"battery","p39","2035",-8734.88778168319
"battery","p39","2040",-97561.1878428286
"battery","p39","2045",-96840.1343661426
"battery","p39","2050",-213623.61000539
"battery","p40","2028",-35358.1904730151
"battery","p40","2030",-55644.9670681071
"battery","p40","2035",-80712.9326319764
"battery","p40","2040",-60808.8806763621
"battery","p40","2045",-43412.8376875153
"battery","p40","2050",-320931.192873024
"battery","p41","2026",-1212.7046415201
"battery","p41","2028",-991.055532822183
"battery","p41","2030",-7759.69839057735
"battery","p41","2035",-123576.902480928
"battery","p41","2040",-231514.461900167
"battery","p41","2045",-177661.892060273
"battery","p41","2050",-183802.01546592
"battery","p42","2035",-81.653625643641
"battery","p42","2040",-32.0970424214897
"battery","p42","2045",-67.6407593032996
"battery","p43","2026",-635.327354820524
"battery","p43","2028",-700.069068968543
"battery","p43","2030",-1468.99152917708
"battery","p43","2035",-1405.02431240396
"battery","p43","2040",-6943.99970480797
"battery","p43","2045",-326466.756214313
"battery","p43","2050",-161564.673460617
"battery","p44","2014",-213.894136881924
