"Dim1","Dim2","Dim3","Val"
"battery","p1","2016",-1163.01628035509
"battery","p1","2018",-1109.38404946081
"battery","p1","2020",-1044.20493182761
"battery","p1","2022",-94.5650259896424
"battery","p1","2024",-34.4958477441145
"battery","p1","2026",-48.1812718343567
"battery","p1","2028",-191.170255762041
"battery","p1","2030",-451.586462213576
"battery","p1","2035",-1763.67799051955
"battery","p1","2040",-7476.62920302889
"battery","p1","2045",-18140.9543440608
"battery","p1","2050",-36171.7131574991
"battery","p2","2035",-24412.89897869
"battery","p2","2040",-37776.8596022518
"battery","p2","2045",-100380.125005857
"battery","p2","2050",-185824.302422288
"battery","p3","2045",-70636.4190000082
"battery","p3","2050",-25050.3646792336
"battery","p4","2045",-1084.66276076367
"battery","p4","2050",-3904.48605220573
"battery","p5","2014",-1568.90960673127
"battery","p5","2016",-1646.13080034792
"battery","p5","2018",-1546.77418584547
"battery","p5","2020",-2048.75156903381
"battery","p5","2022",-1208.81051046241
"battery","p5","2024",-1739.48594735855
"battery","p5","2026",-888.239864445429
"battery","p5","2028",-2038.09658530448
"battery","p5","2030",-528.045181951174
"battery","p5","2035",-17641.957193145
"battery","p5","2040",-28886.2010190192
"battery","p5","2045",-66896.2561594148
"battery","p5","2050",-40931.5019242754
"battery","p6","2020",-133.474469397576
"battery","p6","2022",-68.8895564835325
"battery","p6","2024",-314.6979536767
"battery","p6","2026",-119.749943122884
"battery","p6","2028",-523.349858168613
"battery","p6","2030",-540.382733108108
"battery","p6","2035",-6206.10021357314
"battery","p6","2040",-5177.32427113424
"battery","p6","2045",-15695.9663628985
"battery","p6","2050",-337386.05639947
"battery","p7","2035",-3727.20776484771
"battery","p7","2040",-6423.35142534737
"battery","p7","2045",-3111.37401529615
"battery","p7","2050",-44544.1858845537
"battery","p8","2026",-2304.3157567746
"battery","p8","2028",-4862.91621150089
"battery","p8","2030",-11320.7282486256
"battery","p8","2035",-33166.9813031684
"battery","p8","2040",-263125.772892829
"battery","p8","2045",-169419.251210179
"battery","p8","2050",-165889.864046149
"battery","p9","2020",-24880.8052783968
"battery","p9","2022",-24182.1353729475
"battery","p9","2026",-143788.613514371
"battery","p9","2028",-185202.667563286
"battery","p9","2030",-201105.781018226
"battery","p9","2035",-204211.8478502
"battery","p9","2040",-210225.975461323
"battery","p9","2045",-1143515.62465976
"battery","p9","2050",-1581134.33084081
"battery","p10","2020",-4294.46044356856
"battery","p10","2024",-146170.380795525
"battery","p10","2026",-167771.881733955
"battery","p10","2028",-225336.820948432
"battery","p10","2030",-242284.911760254
"battery","p10","2035",-305358.118289708
"battery","p10","2040",-1544166.91701924
"battery","p10","2045",-3029946.90669681
"battery","p10","2050",-3352712.07117427
"battery","p11","2020",-6453.09878830374
"battery","p11","2022",-15789.0676799598
"battery","p11","2024",-35334.2547157548
"battery","p11","2026",-41695.9497752714
"battery","p11","2028",-47896.1481229425
"battery","p11","2030",-55595.3181514848
"battery","p11","2035",-76254.4344412503
"battery","p11","2040",-73513.6896867496
"battery","p11","2045",-271276.477124576
"battery","p11","2050",-215060.46335062
"battery","p12","2035",-14170.4288649082
"battery","p12","2040",-34179.3259649872
"battery","p12","2045",-111213.617740983
"battery","p12","2050",-174535.899070531
"battery","p13","2020",-806.874571021392
"battery","p13","2022",-1148.72626745948
"battery","p13","2024",-2192.05167567567
"battery","p13","2026",-7251.77442107229
"battery","p13","2028",-7583.33761838491
"battery","p13","2030",-10306.3127554115
"battery","p13","2035",-35813.1401455135
"battery","p13","2040",-119278.291976702
"battery","p13","2045",-238719.585856626
"battery","p13","2050",-295193.191979089
"battery","p14","2035",-39.7672784553857
"battery","p14","2040",-121.027283312497
"battery","p14","2045",-40.1891572366896
"battery","p14","2050",-239.083725279577
"battery","p15","2035",-12.1228418984717
"battery","p15","2040",-1743.31243223721
"battery","p15","2045",-6800.20002111574
