Dim1,Dim2,Dim3,Val
battery,p1,2016,-1163.01628
battery,p1,2018,-1109.384049
battery,p1,2020,-1044.204932
battery,p1,2022,-94.56502599
battery,p1,2024,-41.17727692
battery,p1,2026,-80.4775527
battery,p1,2028,-826.1941766
battery,p1,2030,-3254.803868
battery,p1,2035,-6999.068847
battery,p1,2040,-21737.69789
battery,p1,2045,-93588.49299
battery,p1,2050,-118449.8525
battery,p2,2035,-33501.44301
battery,p2,2040,-83746.5881
battery,p2,2045,-127065.7769
battery,p2,2050,-406823.7112
battery,p4,2035,-327.3091019
battery,p4,2040,-199.531444
battery,p4,2045,-4041.3325
battery,p4,2050,-120477.2378
battery,p5,2014,-1568.909607
battery,p5,2016,-1646.1308
battery,p5,2018,-1546.774186
battery,p5,2020,-2048.751569
battery,p5,2022,-1208.81051
battery,p5,2024,-1239.861693
battery,p5,2026,-1120.251508
battery,p5,2028,-1868.26553
battery,p5,2030,-849.0495304
battery,p5,2035,-49234.37183
battery,p5,2040,-56838.44682
battery,p5,2045,-251308.1653
battery,p5,2050,-211248.6573
battery,p6,2020,-133.4744694
battery,p6,2022,-96.54445765
battery,p6,2024,-198.4707066
battery,p6,2026,-165.6393093
battery,p6,2028,-587.3388797
battery,p6,2030,-735.3332805
battery,p6,2035,-4484.256718
battery,p6,2040,-23747.3974
battery,p6,2045,-343511.4885
battery,p6,2050,-267284.0302
battery,p7,2035,-1420.462944
battery,p7,2040,-2157.63178
battery,p7,2045,-9497.683963
battery,p7,2050,-10397.11247
battery,p8,2026,-2084.184394
battery,p8,2028,-9501.777113
battery,p8,2030,-11801.73825
battery,p8,2035,-10490.90159
battery,p8,2040,-13750.28433
battery,p8,2045,-2882.937463
battery,p8,2050,-7266.603418
battery,p9,2020,-24880.80528
battery,p9,2022,-24452.74305
battery,p9,2026,-156614.1691
battery,p9,2028,-237581.0843
battery,p9,2030,-201329.4307
battery,p9,2035,-203084.963
battery,p9,2040,-205209.7696
battery,p9,2045,-244128.5008
battery,p9,2050,-704678.1921
battery,p10,2020,-4294.460444
battery,p10,2024,-152523.3897
battery,p10,2026,-164285.2489
battery,p10,2028,-220250.0873
battery,p10,2030,-242284.9118
battery,p10,2035,-208502.553
battery,p10,2040,-258979.8771
battery,p10,2045,-1036794.588
battery,p10,2050,-1825570.681
battery,p11,2020,-6453.098788
battery,p11,2022,-18331.28022
battery,p11,2024,-38401.13995
battery,p11,2026,-43912.82018
battery,p11,2028,-56623.54045
battery,p11,2030,-55397.58517
battery,p11,2035,-51950.61404
battery,p11,2040,-60630.57997
battery,p11,2045,-160021.7354
battery,p11,2050,-124086.6116
battery,p12,2035,-141384.9481
battery,p12,2040,-110533.9744
battery,p12,2045,-231500.4331
battery,p12,2050,-141668.8883
battery,p13,2020,-806.874571
battery,p13,2022,-1309.149632
battery,p13,2024,-2276.000566
battery,p13,2026,-7305.760203
battery,p13,2028,-6902.47581
battery,p13,2030,-27077.61012
battery,p13,2035,-49173.83634
battery,p13,2040,-156200.0652
battery,p13,2045,-375730.2336
battery,p13,2050,-698287.4732
battery,p14,2040,-51.74816889
battery,p14,2045,-79.32738113
battery,p14,2050,-310.2834476
battery,p15,2035,-13066.72916
battery,p15,2040,-13739.44345
battery,p15,2045,-17993.51198
battery,p15,2050,-11179.57828
battery,p16,2035,-31573.73248
battery,p16,2040,-56687.64501
battery,p16,2045,-261964.4217
battery,p16,2050,-119928.1913
battery,p17,2035,-6326.630756
battery,p17,2040,-6895.202087
battery,p17,2045,-12476.94595
battery,p17,2050,-26222.33145
battery,p18,2026,-557.3965478
battery,p18,2028,-5128.127092
battery,p18,2030,-4990.387026
battery,p18,2035,-196863.9074
battery,p18,2040,-198242.7988
battery,p18,2045,-234974.316
battery,p18,2050,-152292.3481
battery,p19,2026,-2321.985883
battery,p19,2028,-1843.590293
battery,p19,2030,-3600.213376
battery,p19,2035,-13798.54908
battery,p19,2040,-13640.13068
battery,p19,2045,-14668.94716
battery,p19,2050,-7234.231244
battery,p20,2026,-1012.862764
battery,p20,2028,-7358.729505
battery,p20,2030,-5893.550911
battery,p20,2035,-71158.5911
battery,p20,2040,-70360.3793
battery,p20,2045,-129031.5918
battery,p20,2050,-22398.58831
battery,p21,2026,-22405.36399
battery,p21,2028,-106711.7413
battery,p21,2030,-99203.30285
battery,p21,2035,-369328.6304
battery,p21,2040,-414183.1394
battery,p21,2045,-377385.7509
battery,p21,2050,-152603.7858
battery,p22,2035,-5918.533857
battery,p22,2040,-6082.331067
battery,p22,2045,-4266.998476
battery,p22,2050,-289.8682392
battery,p23,2035,-2884.144266
battery,p23,2040,-2452.621282
battery,p23,2045,-2283.638034
battery,p23,2050,-2840.474209
battery,p24,2035,-318636.1837
battery,p24,2040,-280280.3772
battery,p24,2045,-256487.5852
battery,p24,2050,-134696.4633
battery,p25,2035,-390110.0458
battery,p25,2040,-363053.7036
battery,p25,2045,-411497.2464
battery,p25,2050,-203556.5915
battery,p26,2028,-351.1179271
battery,p26,2030,-180.8936595
battery,p26,2035,-459.2689302
battery,p26,2040,-548.8233416
battery,p26,2045,-1012.547663
battery,p26,2050,-3184.025846
battery,p27,2035,-264056.7098
battery,p27,2040,-286336.2624
battery,p27,2045,-349491.3007
battery,p27,2050,-402918.8362
battery,p28,2026,-3184.959407
battery,p28,2028,-3828.707805
battery,p28,2030,-11782.28984
battery,p28,2035,-211025.7869
battery,p28,2040,-424658.4313
battery,p28,2045,-471234.6197
battery,p28,2050,-775358.6778
battery,p29,2035,-111181.1462
battery,p29,2040,-111806.2155
battery,p29,2045,-118246.2268
battery,p29,2050,-77330.23286
battery,p30,2022,-833.8994955
battery,p30,2024,-7498.848121
battery,p30,2026,-8124.869676
battery,p30,2028,-8124.869676
battery,p30,2030,-9609.493571
battery,p30,2035,-12125.91683
battery,p30,2040,-23335.65205
battery,p30,2045,-279983.4877
battery,p30,2050,-248305.13
battery,p31,2014,-5.66180454
battery,p31,2016,-139.515792
battery,p31,2018,-525.7795896
battery,p31,2020,-1286.332424
battery,p31,2022,-2137.57575
battery,p31,2024,-2175.656622
battery,p31,2026,-2490.724956
battery,p31,2028,-685.1545297
battery,p31,2030,-691.8680432
battery,p31,2035,-751184.4176
battery,p31,2040,-1275335.877
battery,p31,2045,-1478784.034
battery,p31,2050,-1852520.7
battery,p32,2040,-936.6920445
battery,p32,2045,-1069.733268
battery,p32,2050,-31505.23296
battery,p33,2026,-167.6133081
battery,p33,2028,-501.6302595
battery,p33,2030,-99418.37566
battery,p33,2035,-88978.66402
battery,p33,2040,-340367.4516
battery,p33,2045,-226223.0476
battery,p33,2050,-172874.0641
battery,p34,2028,-278515.096
battery,p34,2030,-641213.2789
battery,p34,2035,-700769.546
battery,p34,2040,-694672.1939
battery,p34,2045,-1250555.616
battery,p34,2050,-895486.4325
battery,p35,2035,-24231.21557
battery,p35,2040,-53304.86348
battery,p35,2045,-44551.50279
battery,p35,2050,-15954.22154
battery,p36,2035,-48212.91153
battery,p36,2040,-67353.37954
battery,p36,2045,-59848.49641
battery,p36,2050,-18014.97645
battery,p37,2030,-11880.32371
battery,p37,2035,-74966.8464
battery,p37,2040,-141745.2899
battery,p37,2045,-90788.09731
battery,p37,2050,-225606.8471
battery,p38,2030,-48397.36665
battery,p38,2035,-207242.7915
battery,p38,2040,-844075.3612
battery,p38,2045,-540839.007
battery,p38,2050,-305508.7758
battery,p39,2030,-11014.54089
battery,p39,2035,-89378.94253
battery,p39,2040,-84904.46406
battery,p39,2045,-41075.26536
battery,p39,2050,-79475.47983
battery,p40,2030,-64691.39828
battery,p40,2035,-81836.74023
battery,p40,2040,-204426.3174
battery,p40,2045,-88649.06192
battery,p40,2050,-62651.07186
battery,p41,2030,-23147.44876
battery,p41,2035,-172726.7259
battery,p41,2040,-386607.6085
battery,p41,2045,-224716.3068
battery,p41,2050,-96247.82578
battery,p42,2030,-9471.957467
battery,p42,2035,-12245.11596
battery,p42,2040,-16093.06036
battery,p42,2045,-7544.313845
battery,p42,2050,-17590.14053
battery,p43,2030,-6562.181604
battery,p43,2035,-340962.5197
battery,p43,2040,-438539.3643
battery,p43,2045,-372115.6759
battery,p43,2050,-288087.706
battery,p44,2014,-213.894145
battery,p44,2016,-172.7764657
battery,p44,2018,-88.32
battery,p44,2020,-406.0640337
battery,p44,2022,-425.2958499
battery,p44,2024,-469.7832243
battery,p44,2026,-499.6898919
battery,p44,2028,-560.5559595
battery,p44,2030,-37470.39032
battery,p44,2035,-120598.09
battery,p44,2040,-149116.8064
battery,p44,2045,-120305.8959
battery,p44,2050,-258139.8782
battery,p45,2030,-57527.71568
battery,p45,2035,-518532.7696
battery,p45,2040,-578444.1487
battery,p45,2045,-327054.7405
battery,p45,2050,-850759.6159
battery,p46,2030,-3432.829682
battery,p46,2035,-4973.073998
battery,p46,2040,-15641.41397
battery,p46,2045,-18956.31996
battery,p46,2050,-125457.974
battery,p47,2035,-156233.7436
battery,p47,2040,-345971.2123
battery,p47,2045,-260403.6807
battery,p47,2050,-342045.0002
battery,p48,2035,-258810.7175
battery,p48,2040,-848542.9837
battery,p48,2045,-669027.5781
battery,p48,2050,-539813.7686
battery,p49,2035,-75861.56695
battery,p49,2040,-210634.2951
battery,p49,2045,-139890.9245
battery,p49,2050,-67344.95275
battery,p50,2030,-55980.15797
battery,p50,2035,-730062.9167
battery,p50,2040,-1097399.888
battery,p50,2045,-992681.8872
battery,p50,2050,-2006427.359
battery,p51,2035,-29479.50237
battery,p51,2040,-33931.06365
battery,p51,2045,-54142.14758
battery,p51,2050,-300066.0858
battery,p52,2035,-33738.36344
battery,p52,2040,-90104.69535
battery,p52,2045,-55504.79659
battery,p52,2050,-15545.12857
battery,p53,2030,-346013.7035
battery,p53,2035,-1391371.903
battery,p53,2040,-1755385.264
battery,p53,2045,-1206827.645
battery,p53,2050,-480459.8924
battery,p54,2012,-394.3310892
battery,p54,2014,-330.037
battery,p54,2016,-464.0486148
battery,p54,2018,-691.8680432
battery,p54,2020,-691.8680432
battery,p54,2024,-530.9971815
battery,p54,2026,-437.2599305
battery,p54,2040,-211088.7681
battery,p54,2045,-257200.2881
