Dim1,Dim2,Dim3,Val
battery,p1,2016,-1093.950349
battery,p1,2018,-1288.513296
battery,p1,2020,-1566.30199
battery,p1,2022,-34.13523093
battery,p1,2024,-185.8738349
battery,p1,2026,-92.40084663
battery,p1,2028,-22.56890681
battery,p1,2030,-1265.814711
battery,p1,2035,-8290.655235
battery,p1,2040,-6703.59936
battery,p1,2045,-13236.71149
battery,p1,2050,-56447.56793
battery,p2,2026,-337.8368654
battery,p2,2028,-299.6061712
battery,p2,2030,-461.4946832
battery,p2,2035,-30754.59519
battery,p2,2040,-40186.19335
battery,p2,2045,-100162.7587
battery,p2,2050,-312401.8059
battery,p3,2045,-14910.90507
battery,p3,2050,-24442.00709
battery,p4,2050,-1.310535247
battery,p5,2014,-1570.218557
battery,p5,2016,-1654.240563
battery,p5,2018,-2098.130407
battery,p5,2020,-2580.722374
battery,p5,2022,-1238.428244
battery,p5,2024,-2028.494769
battery,p5,2026,-1841.052654
battery,p5,2028,-1216.642605
battery,p5,2030,-754.6044669
battery,p5,2035,-26168.78698
battery,p5,2040,-24783.46063
battery,p5,2045,-48589.13114
battery,p5,2050,-224678.2107
battery,p6,2020,-129.753286
battery,p6,2022,-178.7406433
battery,p6,2024,-257.7769312
battery,p6,2026,-449.037014
battery,p6,2028,-429.4333815
battery,p6,2030,-601.6749373
battery,p6,2035,-6701.599111
battery,p6,2040,-4921.642919
battery,p6,2045,-52850.94609
battery,p6,2050,-617261.3293
battery,p7,2035,-5086.557814
battery,p7,2040,-6845.5511
battery,p7,2045,-40102.94224
battery,p7,2050,-54146.73148
battery,p8,2026,-4049.558389
battery,p8,2028,-14058.34615
battery,p8,2030,-18566.62844
battery,p8,2035,-238351.9413
battery,p8,2040,-177888.0096
battery,p8,2045,-148719.2147
battery,p8,2050,-157503.5629
battery,p9,2020,-24871.18353
battery,p9,2022,-63355.30827
battery,p9,2026,-111370.5753
battery,p9,2028,-176245.8358
battery,p9,2030,-235006.8493
battery,p9,2035,-210501.1945
battery,p9,2040,-502112.176
battery,p9,2045,-1725781.263
battery,p9,2050,-2021823.812
battery,p10,2024,-61334.48565
battery,p10,2026,-230056.7427
battery,p10,2028,-276857.7798
battery,p10,2030,-280198.6361
battery,p10,2035,-1015430.588
battery,p10,2040,-2413895.545
battery,p10,2045,-4019878.021
battery,p10,2050,-3579778.499
battery,p11,2020,-3041.058891
battery,p11,2022,-13007.46461
battery,p11,2024,-28698.50423
battery,p11,2026,-45022.96
battery,p11,2028,-51443.33095
battery,p11,2030,-57948.96117
battery,p11,2035,-96467.51007
battery,p11,2040,-144124.408
battery,p11,2045,-312860.641
battery,p11,2050,-189321.1761
battery,p12,2026,-368.1643525
battery,p12,2028,-7404.103684
battery,p12,2030,-9616.307487
battery,p12,2035,-36921.19678
battery,p12,2040,-46692.38681
battery,p12,2045,-73577.62113
battery,p12,2050,-37488.77633
battery,p13,2026,-7806.975197
battery,p13,2028,-28092.6985
battery,p13,2030,-35823.97596
battery,p13,2035,-60979.05684
battery,p13,2040,-134222.3067
battery,p13,2045,-256804.4912
battery,p13,2050,-618620.3659
battery,p14,2040,-86.5695435
battery,p14,2045,-26.13174375
battery,p14,2050,-145.006311
battery,p15,2026,-0.07329584
battery,p15,2028,-12.94938172
battery,p15,2030,-20.0961079
battery,p15,2035,-1141.651701
battery,p15,2040,-441.7085991
battery,p15,2045,-16318.57827
battery,p15,2050,-13598.75961
battery,p16,2026,-228.6348203
battery,p16,2028,-3195.907201
battery,p16,2030,-4613.305895
battery,p16,2035,-21308.86128
battery,p16,2040,-14097.74486
battery,p16,2045,-37615.0298
battery,p16,2050,-52508.69488
battery,p17,2026,-457.8051157
battery,p17,2028,-391.487759
battery,p17,2030,-308.5519461
battery,p17,2035,-422.1969634
battery,p17,2040,-7229.490183
battery,p17,2045,-5074.976199
battery,p17,2050,-17658.22876
battery,p18,2026,-818.8933092
battery,p18,2028,-1273.495662
battery,p18,2030,-1751.621148
battery,p18,2035,-3954.452418
battery,p18,2040,-30640.25415
battery,p18,2045,-165069.8576
battery,p18,2050,-164853.1511
battery,p19,2026,-128.9152742
battery,p19,2028,-111.1251592
battery,p19,2030,-100.5890004
battery,p19,2035,-1376.851793
battery,p19,2040,-5135.38208
battery,p19,2045,-8833.10315
battery,p19,2050,-13399.90298
battery,p20,2026,-51.96623996
battery,p20,2028,-20.31793742
battery,p20,2030,-196.6150486
battery,p20,2035,-23406.41541
battery,p20,2040,-11298.28565
battery,p20,2045,-33481.44906
battery,p20,2050,-216131.3509
battery,p21,2026,-7444.122533
battery,p21,2028,-17733.33956
battery,p21,2030,-18147.13794
battery,p21,2035,-31010.82754
battery,p21,2040,-184483.9768
battery,p21,2045,-100106.4017
battery,p21,2050,-378623.1819
battery,p22,2045,-23966.26656
battery,p22,2050,-117944.9668
battery,p23,2035,-4686.803529
battery,p23,2040,-190182.8258
battery,p23,2045,-90829.75865
battery,p23,2050,-137481.3755
battery,p24,2035,-52647.13301
battery,p24,2040,-241274.8694
battery,p24,2045,-254424.0026
battery,p24,2050,-398547.9155
battery,p25,2026,-10891.57293
battery,p25,2028,-15949.78129
battery,p25,2030,-19548.64924
battery,p25,2035,-28706.54919
battery,p25,2040,-101002.6169
battery,p25,2045,-86088.77987
battery,p25,2050,-257518.1131
battery,p26,2028,-225.7751924
battery,p26,2035,-23.16287846
battery,p26,2040,-135.2185088
battery,p26,2045,-18908.08245
battery,p26,2050,-123163.9427
battery,p27,2026,-31137.27375
battery,p27,2028,-62486.44673
battery,p27,2030,-62810.56296
battery,p27,2035,-100321.2899
battery,p27,2040,-173531.9671
battery,p27,2045,-115946.3609
battery,p27,2050,-794880.2593
battery,p28,2026,-2411.256843
battery,p28,2028,-3049.454307
battery,p28,2030,-3236.220716
battery,p28,2035,-67603.92311
battery,p28,2040,-77519.01449
battery,p28,2045,-243660.2829
battery,p28,2050,-1232406.645
battery,p29,2035,-960.8204063
battery,p29,2040,-50081.81894
battery,p29,2045,-65953.54648
battery,p29,2050,-65928.168
battery,p30,2024,-6037.585801
battery,p30,2026,-27926.9373
battery,p30,2028,-43839.31294
battery,p30,2030,-46188.67278
battery,p30,2035,-32072.38931
battery,p30,2040,-97185.486
battery,p30,2045,-143670.4602
battery,p30,2050,-217672.4451
battery,p31,2014,-6.242462597
battery,p31,2016,-139.515792
battery,p31,2018,-525.1546067
battery,p31,2020,-608.5802901
battery,p31,2022,-1344.022504
battery,p31,2024,-1866.220572
battery,p31,2026,-1717.395491
battery,p31,2028,-46882.19305
battery,p31,2030,-54619.6068
battery,p31,2035,-294514.983
battery,p31,2040,-617419.5705
battery,p31,2045,-1449612.975
battery,p31,2050,-1550881.01
battery,p32,2035,-1107.540856
battery,p32,2040,-10098.08135
battery,p32,2045,-49851.82272
battery,p32,2050,-179555.5983
