Dim1,Dim2,Dim3,Val
battery,p1,2016,-1093.950349
battery,p1,2018,-1288.513296
battery,p1,2020,-1566.30199
battery,p1,2022,-34.13523093
battery,p1,2024,-110.5795253
battery,p1,2026,-7028.809105
battery,p1,2028,-4809.832364
battery,p1,2030,-11025.94994
battery,p1,2035,-44246.59766
battery,p1,2040,-422399.1783
battery,p1,2045,-477438.9369
battery,p1,2050,-351655.984
battery,p2,2024,-287.7066895
battery,p2,2026,-5072.349917
battery,p2,2028,-5590.436484
battery,p2,2030,-7481.859226
battery,p2,2035,-92500.21125
battery,p2,2040,-786869.7796
battery,p2,2045,-917879.1666
battery,p2,2050,-645963.6976
battery,p3,2045,-78056.09545
battery,p3,2050,-79542.46865
battery,p4,2035,-56768.59674
battery,p4,2040,-364382.0986
battery,p4,2045,-299485.3848
battery,p4,2050,-481157.8401
battery,p5,2014,-1570.218557
battery,p5,2016,-1654.240563
battery,p5,2018,-2098.130407
battery,p5,2020,-2580.722374
battery,p5,2022,-1252.548771
battery,p5,2024,-2412.236697
battery,p5,2026,-11302.54027
battery,p5,2028,-34871.00158
battery,p5,2030,-38296.07014
battery,p5,2035,-145473.7492
battery,p5,2040,-558306.617
battery,p5,2045,-440681.2581
battery,p5,2050,-616878.3401
battery,p6,2020,-129.753286
battery,p6,2022,-201.3838803
battery,p6,2024,-557.3554247
battery,p6,2026,-5723.272066
battery,p6,2028,-7396.475983
battery,p6,2030,-10339.47747
battery,p6,2035,-90720.18513
battery,p6,2040,-91309.1468
battery,p6,2045,-288728.6145
battery,p6,2050,-680639.4628
battery,p7,2026,-3260.180893
battery,p7,2028,-4034.711506
battery,p7,2030,-4648.277629
battery,p7,2035,-7432.824089
battery,p7,2040,-25920.44893
battery,p7,2045,-24227.80709
battery,p7,2050,-22540.21283
battery,p8,2026,-23706.30183
battery,p8,2028,-23573.03414
battery,p8,2030,-30895.29162
battery,p8,2035,-27588.38006
battery,p8,2040,-35319.23766
battery,p8,2045,-29423.76908
battery,p8,2050,-31453.43745
battery,p9,2020,-24871.18353
battery,p9,2022,-63451.41558
battery,p9,2026,-163579.1905
battery,p9,2028,-213555.3691
battery,p9,2030,-189852.2045
battery,p9,2035,-398281.9477
battery,p9,2040,-284753.0802
battery,p9,2045,-407013.575
battery,p9,2050,-188848.0337
battery,p10,2024,-126601.0496
battery,p10,2026,-230056.7427
battery,p10,2028,-264655.6471
battery,p10,2030,-295655.3148
battery,p10,2035,-263405.7266
battery,p10,2040,-232018.5522
battery,p10,2045,-1331897.374
battery,p10,2050,-1210152.273
battery,p11,2020,-3041.058891
battery,p11,2022,-20827.50511
battery,p11,2024,-32416.7698
battery,p11,2026,-45865.10428
battery,p11,2028,-54765.91581
battery,p11,2030,-63174.90467
battery,p11,2035,-95579.90573
battery,p11,2040,-78155.72614
battery,p11,2045,-189064.48
battery,p11,2050,-110570.2705
battery,p12,2026,-3146.671142
battery,p12,2028,-6315.928291
battery,p12,2030,-76274.43108
battery,p12,2035,-135707.2675
battery,p12,2040,-151698.649
battery,p12,2045,-106833.5868
battery,p12,2050,-84315.10797
battery,p13,2022,-800.4938872
battery,p13,2024,-2448.601502
battery,p13,2026,-117933.4865
battery,p13,2028,-124270.2439
battery,p13,2030,-189516.1327
battery,p13,2035,-281850.193
battery,p13,2040,-279662.7773
battery,p13,2045,-229532.3359
battery,p13,2050,-1516409.183
battery,p14,2024,-0.005939204
battery,p14,2026,-30.61331914
battery,p14,2028,-27.96193023
battery,p14,2030,-29.89116814
battery,p14,2035,-0.098813715
battery,p14,2040,-1236.399974
battery,p14,2045,-1792.250001
battery,p14,2050,-388.2385259
battery,p15,2026,-620.3540596
battery,p15,2028,-558.7408403
battery,p15,2030,-874.8310278
battery,p15,2035,-99917.29193
battery,p15,2040,-115758.8906
battery,p15,2045,-125342.9902
battery,p15,2050,-51487.15067
battery,p16,2026,-8086.110592
battery,p16,2028,-41887.3742
battery,p16,2030,-43781.08203
battery,p16,2035,-108300.109
battery,p16,2040,-174216.6248
battery,p16,2045,-123391.99
battery,p16,2050,-112148.7841
battery,p17,2026,-8460.117371
battery,p17,2028,-15234.95289
battery,p17,2030,-15858.16323
battery,p17,2035,-20620.36773
battery,p17,2040,-101996.3902
battery,p17,2045,-88556.38779
battery,p17,2050,-80213.10056
battery,p18,2024,-4549.672832
battery,p18,2026,-88284.63394
battery,p18,2028,-188209.8892
battery,p18,2030,-173842.5435
battery,p18,2035,-131709.9766
battery,p18,2040,-250672.8784
battery,p18,2045,-352796.293
battery,p18,2050,-353448.4929
battery,p19,2024,-316.7053284
battery,p19,2026,-2159.847512
battery,p19,2028,-6906.303195
battery,p19,2030,-7141.418151
battery,p19,2035,-99601.82934
battery,p19,2040,-90758.01178
battery,p19,2045,-90108.16536
battery,p19,2050,-68831.36861
battery,p20,2024,-1043.295828
battery,p20,2026,-19845.74931
battery,p20,2028,-85188.15844
battery,p20,2030,-79341.36313
battery,p20,2035,-85426.02277
battery,p20,2040,-93145.11887
battery,p20,2045,-86995.56062
battery,p20,2050,-75752.47814
battery,p21,2024,-763.7901251
battery,p21,2026,-50615.66565
battery,p21,2028,-233182.9504
battery,p21,2030,-229126.0389
battery,p21,2035,-341920.5745
battery,p21,2040,-591652.8983
battery,p21,2045,-649841.9565
battery,p21,2050,-576817.5742
battery,p22,2040,-961.5861072
battery,p22,2045,-77.04928921
battery,p22,2050,-12.97614473
battery,p23,2026,-6196.060934
battery,p23,2028,-6003.636173
battery,p23,2030,-5677.191553
battery,p23,2035,-78318.25082
battery,p23,2040,-82494.53841
battery,p23,2045,-66790.33672
battery,p23,2050,-53918.61528
battery,p24,2026,-207001.9118
battery,p24,2028,-202726.8857
battery,p24,2030,-352539.8557
battery,p24,2035,-626559.4352
battery,p24,2040,-666694.4228
battery,p24,2045,-758627.6975
battery,p24,2050,-969902.3344
battery,p25,2024,-846.4006567
battery,p25,2026,-337.0019095
battery,p25,2028,-22649.75795
battery,p25,2030,-18894.5251
battery,p25,2035,-31240.86257
battery,p25,2040,-223820.8875
battery,p25,2045,-207825.5324
battery,p25,2050,-462054.6783
battery,p26,2026,-17.17814835
battery,p26,2028,-24.37653726
battery,p26,2030,-18.43545005
battery,p26,2035,-30749.20162
battery,p26,2040,-41415.08584
battery,p26,2045,-34892.00281
battery,p26,2050,-27403.46238
battery,p27,2026,-138029.2109
battery,p27,2028,-161647.9558
battery,p27,2030,-189096.8596
battery,p27,2035,-413171.2713
battery,p27,2040,-381459.027
battery,p27,2045,-278466.344
battery,p27,2050,-270318.6681
battery,p28,2026,-39688.25306
battery,p28,2028,-46662.18024
battery,p28,2030,-35031.25554
battery,p28,2035,-7340.917048
battery,p28,2040,-344539.4525
battery,p28,2045,-374044.934
battery,p28,2050,-561750.95
battery,p29,2026,-0.300603337
