"Dim1","Dim2","Dim3","Val"
"battery","p1","2016",-1093.95034933267
"battery","p1","2018",-1288.51329577043
"battery","p1","2020",-1566.30199018391
"battery","p1","2022",-34.1352309304108
"battery","p1","2024",-217.351774764392
"battery","p1","2026",-686.725897585581
"battery","p1","2028",-459.005854959518
"battery","p1","2030",-1682.65533410357
"battery","p1","2035",-13935.7849025132
"battery","p1","2040",-22785.0768996027
"battery","p1","2045",-20678.6301220502
"battery","p1","2050",-86605.0802473071
"battery","p2","2024",-466.177260925309
"battery","p2","2026",-944.347493585435
"battery","p2","2028",-1629.23137376181
"battery","p2","2030",-1835.43590565246
"battery","p2","2035",-22661.9118815514
"battery","p2","2040",-108650.008672535
"battery","p2","2045",-91190.384871949
"battery","p2","2050",-221190.552601488
"battery","p3","2050",-954.683536471117
"battery","p4","2035",-12278.4132959037
"battery","p4","2040",-9659.86331500503
"battery","p4","2045",-4856.98337869891
"battery","p4","2050",-258861.953121397
"battery","p5","2014",-1570.21855655924
"battery","p5","2016",-1654.24056269333
"battery","p5","2018",-2098.13040725149
"battery","p5","2020",-2580.72237369937
"battery","p5","2022",-1238.4282438906
"battery","p5","2024",-2329.95633841928
"battery","p5","2026",-1722.59677994751
"battery","p5","2028",-2947.96890687905
"battery","p5","2030",-2113.734335625
"battery","p5","2035",-40101.1709890012
"battery","p5","2040",-80825.7222985891
"battery","p5","2045",-127693.581238593
"battery","p5","2050",-576096.582469048
"battery","p6","2020",-129.75328599573
"battery","p6","2022",-178.740643321283
"battery","p6","2024",-331.903560019312
"battery","p6","2026",-252.239912519273
"battery","p6","2028",-324.26550395438
"battery","p6","2030",-587.134504589014
"battery","p6","2035",-10498.3562463019
"battery","p6","2040",-31372.8044288287
"battery","p6","2045",-301176.973173575
"battery","p6","2050",-432015.459421868
"battery","p7","2028",-281.734961683733
"battery","p7","2030",-431.117571897216
"battery","p7","2035",-13690.604289362
"battery","p7","2040",-43693.2506831226
"battery","p7","2045",-18632.7173805492
"battery","p7","2050",-51727.809048324
"battery","p8","2024",-89.9166630074508
"battery","p8","2026",-5468.64550136962
"battery","p8","2028",-24648.1752741401
"battery","p8","2030",-37976.4283580266
"battery","p8","2035",-227009.114458734
"battery","p8","2040",-143249.13484798
"battery","p8","2045",-106085.312745601
"battery","p8","2050",-80408.634570508
"battery","p9","2020",-24871.1835347268
"battery","p9","2022",-63311.900300427
"battery","p9","2026",-120939.654392943
"battery","p9","2028",-201497.306083843
"battery","p9","2030",-219708.507168616
"battery","p9","2035",-211784.885965686
"battery","p9","2040",-885314.461666333
"battery","p9","2045",-723447.997645864
"battery","p9","2050",-1001297.23406058
