Dim1,Dim2,Dim3,Val
battery,p1,2016,-1093.950349
battery,p1,2018,-1288.513296
battery,p1,2020,-1566.30199
battery,p1,2022,-44.7196431
battery,p1,2024,-194.7917917
battery,p1,2026,-64.55277508
battery,p1,2028,-195.1273912
battery,p1,2030,-5981.634076
battery,p1,2035,-15946.5899
battery,p1,2040,-106230.0542
battery,p1,2045,-74503.95343
battery,p1,2050,-91482.7655
battery,p2,2026,-244.2302528
battery,p2,2028,-1571.656119
battery,p2,2030,-6937.262258
battery,p2,2035,-51307.90417
battery,p2,2040,-233572.7962
battery,p2,2045,-414122.7141
battery,p2,2050,-325630.1634
battery,p3,2035,-14.97431445
battery,p3,2040,-1202.750222
battery,p3,2045,-41644.27273
battery,p3,2050,-26431.95774
battery,p4,2035,-7984.331812
battery,p4,2040,-78042.28072
battery,p4,2045,-53631.60916
battery,p4,2050,-205453.2213
battery,p5,2014,-1570.218557
battery,p5,2016,-1654.240563
battery,p5,2018,-2098.130407
battery,p5,2020,-2580.722374
battery,p5,2022,-1318.226727
battery,p5,2024,-2051.065446
battery,p5,2026,-1371.591556
battery,p5,2028,-2589.284477
battery,p5,2030,-764.5954764
battery,p5,2035,-33085.44174
battery,p5,2040,-186670.222
battery,p5,2045,-210566.1138
battery,p5,2050,-154406.6256
battery,p6,2020,-129.753286
battery,p6,2022,-134.9001753
battery,p6,2024,-296.2724334
battery,p6,2026,-457.9905313
battery,p6,2028,-429.3105882
battery,p6,2030,-768.452888
battery,p6,2035,-16978.77251
battery,p6,2040,-19891.02244
battery,p6,2045,-75514.2539
battery,p6,2050,-694338.1945
battery,p7,2028,-393.2527489
battery,p7,2030,-625.0534748
battery,p7,2035,-1793.271733
battery,p7,2040,-8273.082772
battery,p7,2045,-13441.7509
battery,p7,2050,-23022.22021
battery,p8,2026,-5879.818483
battery,p8,2028,-8849.644972
battery,p8,2030,-11581.08801
battery,p8,2035,-11443.61418
battery,p8,2040,-20761.8722
battery,p8,2045,-21385.30684
battery,p8,2050,-14855.08718
battery,p9,2020,-24871.18353
battery,p9,2022,-60765.95928
battery,p9,2024,-166.4126161
battery,p9,2026,-45003.4282
battery,p9,2028,-176245.8358
battery,p9,2030,-232846.7251
battery,p9,2035,-174419.545
battery,p9,2040,-161919.9722
battery,p9,2045,-184970.6057
battery,p9,2050,-275113.994
battery,p10,2024,-61334.48565
battery,p10,2026,-208120.9067
battery,p10,2028,-242284.9118
battery,p10,2030,-242284.9118
battery,p10,2035,-215962.0595
battery,p10,2040,-230709.9079
battery,p10,2045,-724053.0667
battery,p10,2050,-650161.7026
battery,p11,2020,-3041.058891
battery,p11,2022,-5538.992921
battery,p11,2024,-30558.76033
battery,p11,2026,-48701.78073
battery,p11,2028,-51545.69158
battery,p11,2030,-56509.33999
battery,p11,2035,-86328.63832
battery,p11,2040,-76385.63027
battery,p11,2045,-79414.04716
battery,p11,2050,-55415.59325
battery,p12,2026,-3907.56284
battery,p12,2028,-4538.740093
battery,p12,2030,-10097.55586
battery,p12,2035,-71713.84772
battery,p12,2040,-272139.7637
battery,p12,2045,-219073.6777
battery,p12,2050,-168881.3059
battery,p13,2026,-4022.297178
battery,p13,2028,-8699.236053
battery,p13,2030,-36669.93138
battery,p13,2035,-128789.9047
battery,p13,2040,-264815.7248
battery,p13,2045,-396282.4913
battery,p13,2050,-713262.1812
battery,p14,2035,-6.173271012
battery,p14,2040,-34.53089065
battery,p14,2045,-349.1646247
battery,p14,2050,-342.6655941
battery,p15,2028,-33.55372307
battery,p15,2030,-43.01988336
battery,p15,2035,-841.0097582
battery,p15,2040,-2871.061062
battery,p15,2045,-7314.447372
battery,p15,2050,-4021.186527
battery,p16,2028,-445.9766955
battery,p16,2030,-647.102983
battery,p16,2035,-13493.89273
battery,p16,2040,-41031.65419
battery,p16,2045,-68414.52956
battery,p16,2050,-35782.58052
battery,p17,2028,-359.0625882
battery,p17,2030,-468.3643995
battery,p17,2035,-3420.899231
battery,p17,2040,-12444.63893
battery,p17,2045,-17224.06778
battery,p17,2050,-30967.13924
battery,p18,2026,-37.993109
battery,p18,2028,-5225.753974
battery,p18,2030,-6099.912921
battery,p18,2035,-115045.7421
battery,p18,2040,-246619.5902
battery,p18,2045,-228665.9007
battery,p18,2050,-186310.6077
battery,p19,2026,-828.8230453
battery,p19,2028,-822.9113658
battery,p19,2030,-2967.21737
battery,p19,2035,-9593.164849
battery,p19,2040,-13530.50858
battery,p19,2045,-9549.683557
battery,p19,2050,-18403.78401
battery,p20,2026,-71.83299926
battery,p20,2028,-19189.27721
battery,p20,2030,-22380.52918
battery,p20,2035,-32051.89078
battery,p20,2040,-62825.69642
battery,p20,2045,-65525.79307
battery,p20,2050,-89262.39561
battery,p21,2026,-7809.148549
battery,p21,2028,-40317.84614
battery,p21,2030,-52242.15243
battery,p21,2035,-276772.3018
battery,p21,2040,-601124.8201
battery,p21,2045,-639094.917
battery,p21,2050,-513744.2711
battery,p22,2035,-44716.91784
battery,p22,2040,-131433.831
battery,p22,2045,-43358.34752
battery,p22,2050,-14437.72038
battery,p23,2035,-14098.73433
battery,p23,2040,-17472.4063
battery,p23,2045,-35014.29388
battery,p23,2050,-111430.5017
battery,p24,2035,-211876.224
battery,p24,2040,-532659.9401
battery,p24,2045,-366634.9984
battery,p24,2050,-277963.5938
battery,p25,2026,-6576.480855
battery,p25,2028,-12112.62703
battery,p25,2030,-14841.18773
battery,p25,2035,-25179.02288
battery,p25,2040,-110236.1547
battery,p25,2045,-132367.9941
battery,p25,2050,-689175.8717
battery,p26,2028,-185.9871682
battery,p26,2030,-85.20752307
battery,p26,2035,-22931.57277
battery,p26,2040,-17829.65388
battery,p26,2045,-23582.17792
battery,p26,2050,-53021.95026
battery,p27,2026,-1794.939608
battery,p27,2028,-1845.148857
battery,p27,2030,-2227.066686
battery,p27,2035,-329845.8687
battery,p27,2040,-388292.5444
battery,p27,2045,-311208.6547
battery,p27,2050,-944981.4905
battery,p28,2028,-2411.256843
battery,p28,2030,-10173.03665
battery,p28,2035,-242339.9712
battery,p28,2040,-397275.6247
battery,p28,2045,-681831.9933
battery,p28,2050,-576994.941
battery,p29,2035,-170775.9593
battery,p29,2040,-252495.1465
battery,p29,2045,-241507.2069
battery,p29,2050,-100802.4697
battery,p30,2024,-3260.840919
battery,p30,2026,-5773.340307
battery,p30,2028,-8345.949863
battery,p30,2030,-8610.361449
battery,p30,2035,-75855.29646
battery,p30,2040,-169478.7744
battery,p30,2045,-221537.0398
battery,p30,2050,-142293.4442
battery,p31,2014,-6.242462597
battery,p31,2016,-139.515792
battery,p31,2018,-525.1546067
battery,p31,2020,-608.5802901
battery,p31,2022,-1154.069686
battery,p31,2024,-947.8209308
battery,p31,2026,-19749.43905
battery,p31,2028,-29789.30362
battery,p31,2030,-29828.58692
