"Dim1","Dim2","Dim3","Val"
"battery","p1","2016",-1093.95034933267
"battery","p1","2018",-1288.51329577043
"battery","p1","2020",-1566.3019901839
"battery","p1","2022",-44.7196691905928
"battery","p1","2024",-233.733190850222
"battery","p1","2026",-222.945640895602
"battery","p1","2030",-209.214502594131
"battery","p1","2035",-3030.90236424422
"battery","p1","2040",-9867.24737580371
"battery","p1","2045",-9476.84316570489
"battery","p1","2050",-70464.4341730606
"battery","p2","2035",-31149.6548179499
"battery","p2","2040",-35526.8128907022
"battery","p2","2045",-96200.4153928472
"battery","p2","2050",-404555.299126237
"battery","p3","2045",-12060.3994456488
"battery","p3","2050",-27725.4319436248
"battery","p4","2050",-4368.90425650722
"battery","p5","2014",-1570.21855655924
"battery","p5","2016",-1654.24056269333
"battery","p5","2018",-2098.13040725149
"battery","p5","2020",-2580.72237369937
"battery","p5","2022",-1318.22672702014
"battery","p5","2024",-2136.66374550889
"battery","p5","2026",-2463.97496903438
"battery","p5","2028",-1083.29519534248
"battery","p5","2030",-380.027459712267
"battery","p5","2035",-12138.6968465804
"battery","p5","2040",-23164.725361115
"battery","p5","2045",-59369.139274906
"battery","p5","2050",-241973.59546594
"battery","p6","2020",-129.75328599573
"battery","p6","2022",-134.900175281898
"battery","p6","2024",-250.455825709888
"battery","p6","2026",-364.780275688854
"battery","p6","2028",-455.94826001522
"battery","p6","2030",-540.382733108107
"battery","p6","2035",-8743.00439368675
"battery","p6","2040",-6694.99330994045
"battery","p6","2045",-158796.131423442
"battery","p6","2050",-492023.671911745
"battery","p7","2035",-3209.0363306088
"battery","p7","2040",-5036.81114422583
"battery","p7","2045",-8730.69240677325
"battery","p7","2050",-10385.0586863439
"battery","p8","2026",-4339.83857639868
"battery","p8","2028",-12236.8897705876
"battery","p8","2030",-14583.8796533623
"battery","p8","2035",-245274.26547152
"battery","p8","2040",-162473.617846177
"battery","p8","2045",-137973.229025845
"battery","p8","2050",-79779.0067255937
"battery","p9","2020",-24871.1835347267
"battery","p9","2022",-60765.9592772027
"battery","p9","2024",-611.045769381208
"battery","p9","2026",-39988.1111453751
"battery","p9","2028",-176245.835757711
"battery","p9","2030",-222031.974366511
"battery","p9","2035",-166495.057875358
"battery","p9","2040",-210207.923318919
"battery","p9","2045",-833710.574067254
"battery","p9","2050",-1345291.55361619
"battery","p10","2024",-61334.485654054
"battery","p10","2026",-178584.729757478
"battery","p10","2028",-225082.264192625
"battery","p10","2030",-242284.911760254
"battery","p10","2035",-725002.189209287
"battery","p10","2040",-2303612.34043617
"battery","p10","2045",-2926806.24543994
"battery","p10","2050",-2496707.08720403
"battery","p11","2020",-3041.05889052643
