,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
0,A: Base,2020,<$25k,1.0079026781535756,1.038687161462706,0.8416195583818221
1,A: Base,2020,$25k-$50k,0.9893046186461556,0.8973641683699514,0.7622744463172741
2,A: Base,2020,$50k-$75k,0.9284745413000752,0.8924621711454508,0.7417525684638197
3,A: Base,2020,$75k-$100k,0.8467387889967584,0.9010502504477483,0.6491808309410472
4,A: Base,2020,$100k-$125k,0.8632207004333662,0.9695311457459329,0.6026365931250152
5,A: Base,2020,$125k-$150k,0.9829699297752581,1.0662691435356968,0.6353372321213482
6,A: Base,2020,>$150k,0.9364522137565521,1.1020223013785235,0.5421583119661528
0,A: Base,2026,<$25k,1.0606664231789158,1.0775941263873483,0.8691435575705189
1,A: Base,2026,$25k-$50k,1.0367292860059851,0.926941028801055,0.782659093146789
2,A: Base,2026,$50k-$75k,0.9591167554574049,0.9108736712875933,0.7496150513855392
3,A: Base,2026,$75k-$100k,0.8639462021562029,0.9088838199905788,0.6425894829331588
4,A: Base,2026,$100k-$125k,0.8752411244077146,0.9754425440736672,0.5900820518870634
5,A: Base,2026,$125k-$150k,0.9969757757696112,1.0791033473280383,0.622004569758046
6,A: Base,2026,>$150k,0.9448429284531262,1.1112964564832621,0.5330749177890912
0,A: Base,2030,<$25k,1.033822817210095,1.0475264905972026,0.8460094704795286
1,A: Base,2030,$25k-$50k,1.0099978921622423,0.8998924705977148,0.7613355510763561
2,A: Base,2030,$50k-$75k,0.9321033451817755,0.8822687222987728,0.728434185401983
3,A: Base,2030,$75k-$100k,0.8360049970202577,0.8769484044852685,0.6229334923247201
4,A: Base,2030,$100k-$125k,0.8434706442137482,0.9381021268465004,0.568427857417367
5,A: Base,2030,$125k-$150k,0.9589979266207983,1.036394486135557,0.5952930935000831
6,A: Base,2030,>$150k,0.9065721554970638,1.065675434537553,0.5059853132367534
0,A: Base,2035,<$25k,1.0011933321228617,1.0110961336351505,0.81628032139529
1,A: Base,2035,$25k-$50k,0.9781282121268572,0.8691476499116579,0.7376878441552285
2,A: Base,2035,$50k-$75k,0.8970253850069332,0.8495387924294105,0.7028716850085748
3,A: Base,2035,$75k-$100k,0.7969915707120819,0.8401788975129169,0.5943465567178339
4,A: Base,2035,$100k-$125k,0.7982707253260795,0.8952224506442165,0.5356234586786642
5,A: Base,2035,$125k-$150k,0.9052445170686688,0.9858789721300045,0.555506763912959
6,A: Base,2035,>$150k,0.8533270951431455,1.0107297014130188,0.46480575137171903
0,A: Base,2040,<$25k,0.8785953556375197,0.8995711235960105,0.7203406684787232
1,A: Base,2040,$25k-$50k,0.8506514763743561,0.7669709644518564,0.6440061537890853
