,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
0,A: Base,2020,0-10%,0.9515689361333243,0.9651983354432337,0.7425571236945946
1,A: Base,2020,10-20%,0.9451884832061306,0.8653839160769693,0.7181288722289694
2,A: Base,2020,20-30%,0.9318202911380126,0.8654411086763,0.693205814761999
3,A: Base,2020,30-50%,0.8816873003824124,0.9043385833747569,0.7178047286209824
4,A: Base,2020,50-70%,0.9748953563349152,1.0427072121571732,0.8434508663181259
5,A: Base,2020,70-100%,1.1990101686767511,1.1507016139650812,1.122416787984944
0,A: Base,2026,0-10%,0.9750576259034104,0.9791194861698651,0.7426414941727162
1,A: Base,2026,10-20%,0.9834129164343952,0.8886344777483455,0.7311470129175458
2,A: Base,2026,20-30%,0.9793068039764544,0.8944523730756037,0.7129908984864668
3,A: Base,2026,30-50%,0.924077277223709,0.932081459352937,0.7349673020980065
4,A: Base,2026,50-70%,1.0201286469005297,1.0766059111675563,0.8672593321948131
5,A: Base,2026,70-100%,1.266079852294641,1.2013295059509912,1.1706778413668033
0,A: Base,2030,0-10%,0.9444485814683498,0.9462948452936341,0.7199311214708317
1,A: Base,2030,10-20%,0.9565613601775081,0.8612308211900619,0.710336300373237
2,A: Base,2030,20-30%,0.9544227180265481,0.8676162112167245,0.6935111047036385
3,A: Base,2030,30-50%,0.9008367785567368,0.9041326578797172,0.7149561387118017
4,A: Base,2030,50-70%,0.9947686804931357,1.046788980602057,0.8454735475067885
5,A: Base,2030,70-100%,1.234905499005208,1.168763201540215,1.1416683857242067
0,A: Base,2035,0-10%,0.9046074901727262,0.9083616251124417,0.691416046662748
1,A: Base,2035,10-20%,0.9234163929195127,0.8306481998699338,0.6869473645303732
2,A: Base,2035,20-30%,0.9228551176206659,0.8371079564684316,0.6691580886276581
3,A: Base,2035,30-50%,0.868059550195493,0.8699268629444386,0.6844600068241998
4,A: Base,2035,50-70%,0.9638935181418791,1.0113568193961469,0.816942590246425
5,A: Base,2035,70-100%,1.2004084038418676,1.1335255612536745,1.1200900968243865
0,A: Base,2040,0-10%,0.7933331851592929,0.8075098856222537,0.6083231798270263
1,A: Base,2040,10-20%,0.8038853009598499,0.733748746524633,0.600416321717485
2,A: Base,2040,20-30%,0.7996559076968328,0.7366516048838522,0.5792305828307656
3,A: Base,2040,30-50%,0.7565280600068561,0.7691800094128114,0.5955991231006282
4,A: Base,2040,50-70%,0.8486061404125664,0.902360913617371,0.7236465255964157
5,A: Base,2040,70-100%,1.065633893013604,1.0151448202768816,1.0134564504851178
0,A: Base,2045,0-10%,0.5076549386704248,0.5484527406905244,0.38815104411621876
1,A: Base,2045,10-20%,0.5151190711215944,0.49910200201792465,0.381817940571705
2,A: Base,2045,20-30%,0.5142378092240564,0.5047942522149806,0.3720160708908526
3,A: Base,2045,30-50%,0.488654638704953,0.5303110582097279,0.38851420466183434
4,A: Base,2045,50-70%,0.5441665169368972,0.6188362219398875,0.4775024437722032
5,A: Base,2045,70-100%,0.6726073553655681,0.6745023729493532,0.6544019925148018
0,A: Base,2050,0-10%,0.33040463283318156,0.3739433676912853,0.2601340057938645
1,A: Base,2050,10-20%,0.336786729196843,0.34316569946640324,0.2494560273493809
2,A: Base,2050,20-30%,0.3375326475424619,0.35035592977798014,0.24728574260031522
3,A: Base,2050,30-50%,0.3200990763983907,0.3660203431017394,0.25831950297297657
4,A: Base,2050,50-70%,0.34969134206018526,0.42020954519219256,0.3147416819909974
5,A: Base,2050,70-100%,0.4374321515880783,0.4473782283950043,0.40501800857708115
0,B: US NDC Carbon Cap,2020,0-10%,0.6202369118772327,0.6774443790036163,0.4831802318903201
1,B: US NDC Carbon Cap,2020,10-20%,0.6182435849309171,0.6031395686656625,0.467319976365269
2,B: US NDC Carbon Cap,2020,20-30%,0.6087943739639529,0.6036279423461887,0.44641348090612043
3,B: US NDC Carbon Cap,2020,30-50%,0.5756901744422089,0.6345687993053923,0.46524638932892265
4,B: US NDC Carbon Cap,2020,50-70%,0.6487996716568883,0.7434090473992917,0.5765403994337209
5,B: US NDC Carbon Cap,2020,70-100%,0.8115039105578458,0.8147706682697007,0.7857726231460388
0,B: US NDC Carbon Cap,2026,0-10%,0.3175972314250121,0.4018445098971655,0.22915531574970838
1,B: US NDC Carbon Cap,2026,10-20%,0.3268344041251782,0.3609026094814955,0.2307962761299884
2,B: US NDC Carbon Cap,2026,20-30%,0.3264096456960057,0.3664306218486187,0.2242437487644834
3,B: US NDC Carbon Cap,2026,30-50%,0.3041827073284342,0.3832644339989395,0.22928426429847698
4,B: US NDC Carbon Cap,2026,50-70%,0.3372263488871497,0.44071992491900264,0.2753011368384069
5,B: US NDC Carbon Cap,2026,70-100%,0.4129357035023083,0.46282984695953905,0.36985157548511527
0,B: US NDC Carbon Cap,2030,0-10%,0.23268431104683523,0.31966775738699216,0.1645638764648068
1,B: US NDC Carbon Cap,2030,10-20%,0.24033381461105136,0.2867523986861023,0.16464306122909983
2,B: US NDC Carbon Cap,2030,20-30%,0.24210756633308914,0.2936516071604338,0.16169440049494943
3,B: US NDC Carbon Cap,2030,30-50%,0.22638831164533332,0.30775039065721527,0.16504617611383549
4,B: US NDC Carbon Cap,2030,50-70%,0.24718420057069157,0.34967585074454777,0.194054027740566
5,B: US NDC Carbon Cap,2030,70-100%,0.29086440408854625,0.3520322323807276,0.2499485573092175
0,B: US NDC Carbon Cap,2035,0-10%,0.14280437953842987,0.22623706430045717,0.09803435635739537
1,B: US NDC Carbon Cap,2035,10-20%,0.14633460180417437,0.2013647895234476,0.09706464479836514
2,B: US NDC Carbon Cap,2035,20-30%,0.14723715973267087,0.20790923819766902,0.09502262637337881
