,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure,,,
0,A: Base,2020,Total,0.872437501,0.852796907,0.675937003,,,
1,A: Base,2020,Black,1.134890745,1.145093692,0.784921901,,,
2,A: Base,2020,Asian,0.650887061,0.749147295,0.444832755,,,
3,A: Base,2020,Latinx/Hispanic,0.602812632,0.66891314,0.465521642,,,
4,A: Base,2020,Indigenous,0.656867991,0.587267144,0.514902984,,,
5,A: Base,2020,Non-Latinx White,0.969331331,0.926188217,0.772722561,,,
0,A: Base,2026,Total,0.903673796,0.872030522,0.68491721,,,
1,A: Base,2026,Black,1.190485244,1.185062113,0.806838678,,,
2,A: Base,2026,Asian,0.662726523,0.754869554,0.440192185,,,
3,A: Base,2026,Latinx/Hispanic,0.616330002,0.672790919,0.460687361,,,
4,A: Base,2026,Indigenous,0.655438353,0.578137727,0.485741401,,,
5,A: Base,2026,Non-Latinx White,1.003619039,0.947107211,0.783628015,,,
0,A: Base,2030,Total,0.878001582,0.844471335,0.665187172,,,
1,A: Base,2030,Black,1.16258315,1.153019789,0.786775187,,,
2,A: Base,2030,Asian,0.640919489,0.72618247,0.42535881,,,
3,A: Base,2030,Latinx/Hispanic,0.596756293,0.646268349,0.444660203,,,
4,A: Base,2030,Indigenous,0.638055582,0.560010358,0.475726655,,,
5,A: Base,2030,Non-Latinx White,0.974478849,0.917179295,0.760834587,,,
0,A: Base,2035,Total,0.845710979,0.813299321,0.641430535,,,
1,A: Base,2035,Black,1.137043124,1.12078943,0.769029044,,,
2,A: Base,2035,Asian,0.608743456,0.695844901,0.400227122,,,
3,A: Base,2035,Latinx/Hispanic,0.554915721,0.609663115,0.404134407,,,
4,A: Base,2035,Indigenous,0.590515936,0.523406941,0.439100312,,,
5,A: Base,2035,Non-Latinx White,0.938440959,0.883082171,0.735007694,,,
0,A: Base,2040,Total,0.739873398,0.721373806,0.563027948,,,
1,A: Base,2040,Black,0.98311403,0.985793026,0.660354652,,,
2,A: Base,2040,Asian,0.530432919,0.61644926,0.340249513,,,
3,A: Base,2040,Latinx/Hispanic,0.47644325,0.533636993,0.335463473,,,
4,A: Base,2040,Indigenous,0.50541733,0.457589043,0.381560909,,,
5,A: Base,2040,Non-Latinx White,0.824148074,0.785537907,0.65027404,,,
0,A: Base,2045,Total,0.474270667,0.49097461,0.359664668,,,
1,A: Base,2045,Black,0.613959482,0.660413441,0.405132973,,,
2,A: Base,2045,Asian,0.337915938,0.421661082,0.214781775,,,
3,A: Base,2045,Latinx/Hispanic,0.314453152,0.378156279,0.222613305,,,
