,Scenario,Year,Income Group,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
0,A: Base,2020,<$25k,Total,0.9853287969576116,1.0170693692188875,0.8276372336619787
1,A: Base,2020,<$25k,Black,1.1517804185741163,1.2182402560146215,0.946238976246224
2,A: Base,2020,<$25k,Asian,0.7701519988651441,0.858275319951993,0.6528793739689102
3,A: Base,2020,<$25k,Latinx/Hispanic,0.6283351659734789,0.7964339796742815,0.5298285951476601
4,A: Base,2020,<$25k,Indigenous,0.5645506567965243,0.6229104977997425,0.6925620623040597
5,A: Base,2020,<$25k,Non-Latinx White,0.9969943671898746,0.9517269866082654,0.847196936051176
0,A: Base,2020,$25k-$50k,Total,0.948244070201212,0.861871321951426,0.7336911598970226
1,A: Base,2020,$25k-$50k,Black,1.1403596196712225,1.1234157503208557,0.8023937443327122
2,A: Base,2020,$25k-$50k,Asian,0.6776801254765827,0.7768600072121781,0.5032515184068677
3,A: Base,2020,$25k-$50k,Latinx/Hispanic,0.6054285468385711,0.6579085329005202,0.4903847892570403
4,A: Base,2020,$25k-$50k,Indigenous,0.6807532787560365,0.5704403454625718,0.504968492625095
5,A: Base,2020,$25k-$50k,Non-Latinx White,1.0369112738648687,0.8989331471274402,0.8216897520819201
0,A: Base,2020,$50k-$75k,Total,0.8536954440547957,0.8274590787509744,0.6859331935449188
1,A: Base,2020,$50k-$75k,Black,1.115054645961416,1.1211953336845006,0.7088388305654935
2,A: Base,2020,$50k-$75k,Asian,0.6219723993559928,0.7188993279035766,0.43894085917443965
3,A: Base,2020,$50k-$75k,Latinx/Hispanic,0.5807383555575333,0.634478121232366,0.42991373551876344
4,A: Base,2020,$50k-$75k,Indigenous,0.6484836554174115,0.5940270762746782,0.5007957826247322
5,A: Base,2020,$50k-$75k,Non-Latinx White,0.9649013448168693,0.9177921238449637,0.8045544177052191
0,A: Base,2020,$75k-$100k,Total,0.7453342184265261,0.8078837647882736,0.5667700539490516
1,A: Base,2020,$75k-$100k,Black,1.0964394369873804,1.1571386049131145,0.6256565214403303
2,A: Base,2020,$75k-$100k,Asian,0.5968089025404139,0.6937312629066664,0.3923269276162471
3,A: Base,2020,$75k-$100k,Latinx/Hispanic,0.5911174524217602,0.6771819097809655,0.4086326121228054
4,A: Base,2020,$75k-$100k,Indigenous,0.578272878109075,0.5826485898906366,0.43807048326388665
5,A: Base,2020,$75k-$100k,Non-Latinx White,0.8634912423609152,0.9325738124109713,0.6831591042975435
0,A: Base,2020,$100k-$125k,Total,0.74895684982124,0.8604670080189954,0.510229355775181
1,A: Base,2020,$100k-$125k,Black,1.1758509815649214,1.261939309865753,0.6542301120798453
2,A: Base,2020,$100k-$125k,Asian,0.6515034561393784,0.758021120859403,0.3919034852923695
3,A: Base,2020,$100k-$125k,Latinx/Hispanic,0.6634096041185372,0.7720336320431586,0.42522992802982434
4,A: Base,2020,$100k-$125k,Indigenous,0.7054870105244425,0.7367648920416584,0.49150599065921646
5,A: Base,2020,$100k-$125k,Non-Latinx White,0.8628263141895377,0.9968552844359366,0.6061672451865692
0,A: Base,2020,$125k-$150k,Total,0.8339305464509471,0.9307795958937526,0.5265059591247366
1,A: Base,2020,$125k-$150k,Black,1.3186188572715563,1.3634540093631802,0.6812250710252221
2,A: Base,2020,$125k-$150k,Asian,0.7923506143759405,0.8727113788335933,0.45993140320728676
3,A: Base,2020,$125k-$150k,Latinx/Hispanic,0.8399843387211198,0.9210256012790501,0.5260821258231667
4,A: Base,2020,$125k-$150k,Indigenous,0.8660846882820601,0.8695950694687867,0.5672228823355686
5,A: Base,2020,$125k-$150k,Non-Latinx White,0.9633250905760528,1.084551001617777,0.6240864055400381
0,A: Base,2020,>$150k,Total,0.838985249900238,1.0078309471313047,0.47837892047685787
1,A: Base,2020,>$150k,Black,1.2269944028353326,1.3874581147796436,0.7125331429785855
2,A: Base,2020,>$150k,Asian,0.7541394356141187,0.8698820846202404,0.4022937681428272
3,A: Base,2020,>$150k,Latinx/Hispanic,0.8339107854493665,0.9974612915289353,0.48218850309043493
4,A: Base,2020,>$150k,Indigenous,0.9225552192626262,0.9545866912094074,0.5486459397550127
5,A: Base,2020,>$150k,Non-Latinx White,0.9382692378388627,1.1378951663189598,0.5408041283274776
0,A: Base,2026,<$25k,Total,1.0365429298159565,1.05502402838516,0.8541313815869196
1,A: Base,2026,<$25k,Black,1.2191626421327046,1.2701920747021598,0.9829457463525065
2,A: Base,2026,<$25k,Asian,0.7902759720912228,0.8695637234299904,0.6559133866279788
3,A: Base,2026,<$25k,Latinx/Hispanic,0.6405730086155883,0.8050138329599504,0.5257927839626748
4,A: Base,2026,<$25k,Indigenous,0.564928550482051,0.6182753715602076,0.6698311772049313
5,A: Base,2026,<$25k,Non-Latinx White,1.0501622175636833,0.9898263092034216,0.8767987829052655
0,A: Base,2026,$25k-$50k,Total,0.9931276685722187,0.890006850645838,0.7530555776108618
1,A: Base,2026,$25k-$50k,Black,1.203407080322539,1.167429866451288,0.830246452967902
2,A: Base,2026,$25k-$50k,Asian,0.6942304143478467,0.7845993706974012,0.5013046871649881
3,A: Base,2026,$25k-$50k,Latinx/Hispanic,0.6220840542251548,0.6634847998893258,0.4890362989937443
4,A: Base,2026,$25k-$50k,Indigenous,0.6794432950998107,0.5610018493383218,0.4746793368491455
5,A: Base,2026,$25k-$50k,Non-Latinx White,1.0873416015906028,0.9306466788486571,0.8458394472040432
0,A: Base,2026,$50k-$75k,Total,0.8808468005948664,0.8438312331942336,0.6929620351331408
1,A: Base,2026,$50k-$75k,Black,1.1621583896299552,1.154584723586729,0.7221072345057886
2,A: Base,2026,$50k-$75k,Asian,0.6350954431883141,0.7244109046652658,0.4360308262581727
3,A: Base,2026,$50k-$75k,Latinx/Hispanic,0.5919521727925495,0.6354273780604006,0.4221549970497462
4,A: Base,2026,$50k-$75k,Indigenous,0.6450578510068294,0.5823084172519524,0.46902520995905855
5,A: Base,2026,$50k-$75k,Non-Latinx White,0.9957749876658096,0.9367042818242732,0.8143702507294467
0,A: Base,2026,$75k-$100k,Total,0.7592679582459481,0.8140762496119582,0.5610875687421669
1,A: Base,2026,$75k-$100k,Black,1.1235686370816496,1.1771376793541746,0.6241247928888817
2,A: Base,2026,$75k-$100k,Asian,0.6048531961069796,0.6966491812490764,0.3856179595290619
3,A: Base,2026,$75k-$100k,Latinx/Hispanic,0.599456942942737,0.6777213332512185,0.3985765535084674
4,A: Base,2026,$75k-$100k,Indigenous,0.5790493482742327,0.5768459602693423,0.41743926693815303
5,A: Base,2026,$75k-$100k,Non-Latinx White,0.8797995475209631,0.9395449460082419,0.6769160403588822
0,A: Base,2026,$100k-$125k,Total,0.7580950708242058,0.8642670449354831,0.49946582710570064
1,A: Base,2026,$100k-$125k,Black,1.1887934706637568,1.275734279597583,0.6330290273064417
2,A: Base,2026,$100k-$125k,Asian,0.658763125941822,0.7614416021527928,0.38355732159100087
3,A: Base,2026,$100k-$125k,Latinx/Hispanic,0.6696918846551178,0.7743289108799036,0.41123653020973666
4,A: Base,2026,$100k-$125k,Indigenous,0.7089366367266914,0.7342618381441942,0.4680568561474841
5,A: Base,2026,$100k-$125k,Non-Latinx White,0.8737816697027899,1.0008996820952605,0.5943637143199574
0,A: Base,2026,$125k-$150k,Total,0.8443447101601766,0.9400627861503161,0.5149885608140335
1,A: Base,2026,$125k-$150k,Black,1.3277208751170497,1.378709357032396,0.6532407400239768
2,A: Base,2026,$125k-$150k,Asian,0.802990515660439,0.8840397622290452,0.45125056092255666
3,A: Base,2026,$125k-$150k,Latinx/Hispanic,0.8467186879540692,0.9316589799826834,0.5054941858030166
4,A: Base,2026,$125k-$150k,Indigenous,0.8709488910541198,0.8738544010076116,0.5415294646965089
5,A: Base,2026,$125k-$150k,Non-Latinx White,0.975890718419144,1.094981548976222,0.611350230671144
0,A: Base,2026,>$150k,Total,0.8449857361846232,1.0146414641261876,0.46930379951504597
1,A: Base,2026,>$150k,Black,1.2364734650333773,1.4062611432544219,0.6849347158436713
2,A: Base,2026,>$150k,Asian,0.757506685677482,0.8768407510189495,0.38982168368956094
